"Record Date","System Name","Organization","Product","Model","Drawer","FRU","A(N1CP2)","B(N0CP1)","C(N0CP2)","D(N0SC)","E(N1CP1)"
"2019-11-25 19:06:46 EST","m216m","BRINGUP","zMidas","zMR","CPC","mdc1","31.93","33.31","35.18","36.93","31.31"
"2019-11-25 19:06:46 EST","m216m","BRINGUP","zMidas","zMR","CPC","mdc2","32.87","33.62","35.81","36.50","32.43"
"2019-11-25 19:05:44 EST","Tbuv2","BRINGUP","zThemis","zHE","CPC0","mdc1","66.62","64.81","63.93","49.00","60.06"
"2019-11-25 19:05:44 EST","Tbuv2","BRINGUP","zThemis","zHE","CPC0","mdc2","65.31","63.37","63.06","48.93","58.75"
"2019-11-25 19:05:44 EST","c58mr","EST","zMidas","zMR","CPC","mdc1","25.06","25.06","24.93","24.87","24.81"
"2019-11-25 19:05:44 EST","c58mr","EST","zMidas","zMR","CPC","mdc2","25.18","24.93","24.87","24.87","24.75"
"2019-11-25 19:05:02 EST","t91","BRINGUP","zThemis","zHE","CPC0","mdc1","30.50","31.81","31.00","45.37","31.87"
"2019-11-25 19:05:02 EST","t91","BRINGUP","zThemis","zHE","CPC0","mdc2","29.37","30.43","29.43","45.56","30.56"
"2019-11-25 19:05:02 EST","t91","BRINGUP","zThemis","zHE","CPC1","mdc1","30.81","30.62","31.31","44.00","31.31"
"2019-11-25 19:05:02 EST","t91","BRINGUP","zThemis","zHE","CPC1","mdc2","29.50","29.62","29.93","43.93","29.87"
"2019-11-25 19:05:02 EST","t91","BRINGUP","zThemis","zHE","CPC2","mdc1","31.87","32.75","32.25","53.06","31.81"
"2019-11-25 19:05:02 EST","t91","BRINGUP","zThemis","zHE","CPC2","mdc2","30.50","31.25","31.00","52.75","30.43"
"2019-11-25 19:05:02 EST","t91","BRINGUP","zThemis","zHE","CPC3","mdc1","36.62","30.87","31.43","46.50","29.25"
"2019-11-25 19:05:02 EST","t91","BRINGUP","zThemis","zHE","CPC3","mdc2","29.75","29.62","30.25","46.18","28.37"
"2019-11-25 19:05:02 EST","t91","BRINGUP","zThemis","zHE","CPC4","mdc1","32.31","29.62","30.50","43.87","31.81"
"2019-11-25 19:05:02 EST","t91","BRINGUP","zThemis","zHE","CPC4","mdc2","30.93","28.50","29.43","43.56","30.56"
"2019-11-25 19:04:55 EST","t89","SOFTWARE","zThemis","zHE","CPC0","mdc1","31.00","29.50","29.87","39.87","28.87"
"2019-11-25 19:04:55 EST","t89","SOFTWARE","zThemis","zHE","CPC0","mdc2","29.93","28.43","28.50","39.81","27.62"
"2019-11-25 19:04:55 EST","t89","SOFTWARE","zThemis","zHE","CPC1","mdc1","29.56","29.87","29.18","42.31","29.06"
"2019-11-25 19:04:55 EST","t89","SOFTWARE","zThemis","zHE","CPC1","mdc2","28.12","28.43","27.81","42.37","28.06"
"2019-11-25 19:04:55 EST","t89","SOFTWARE","zThemis","zHE","CPC2","mdc1","29.43","29.00","28.93","43.50","30.18"
"2019-11-25 19:04:55 EST","t89","SOFTWARE","zThemis","zHE","CPC2","mdc2","28.43","28.00","27.68","43.62","29.06"
"2019-11-25 19:04:55 EST","t89","SOFTWARE","zThemis","zHE","CPC3","mdc1","30.62","30.37","30.18","40.81","29.75"
"2019-11-25 19:04:55 EST","t89","SOFTWARE","zThemis","zHE","CPC3","mdc2","29.43","29.06","28.93","40.50","28.56"
"2019-11-25 19:04:55 EST","t89","SOFTWARE","zThemis","zHE","CPC4","mdc1","31.18","30.18","30.31","41.93","31.87"
"2019-11-25 19:04:55 EST","t89","SOFTWARE","zThemis","zHE","CPC4","mdc2","30.06","28.75","28.81","41.62","30.68"
"2019-11-25 19:04:45 EST","t86","BRINGUP","zThemis","zHE","CPC0","mdc1","33.75","33.75","33.62","40.50","33.68"
"2019-11-25 19:04:45 EST","t86","BRINGUP","zThemis","zHE","CPC0","mdc2","32.56","32.68","32.50","40.56","32.75"
"2019-11-25 19:04:45 EST","t86","BRINGUP","zThemis","zHE","CPC1","mdc1","33.12","34.06","33.68","39.25","33.43"
"2019-11-25 19:04:45 EST","t86","BRINGUP","zThemis","zHE","CPC1","mdc2","31.87","32.68","32.50","38.68","32.18"
"2019-11-25 19:04:45 EST","t86","BRINGUP","zThemis","zHE","CPC2","mdc1","33.87","33.75","33.68","43.75","33.75"
"2019-11-25 19:04:45 EST","t86","BRINGUP","zThemis","zHE","CPC2","mdc2","32.93","32.68","32.50","43.56","32.31"
"2019-11-25 19:04:45 EST","t86","BRINGUP","zThemis","zHE","CPC3","mdc1","31.68","33.31","31.68","37.12","32.00"
"2019-11-25 19:04:45 EST","t86","BRINGUP","zThemis","zHE","CPC3","mdc2","30.56","31.75","30.56","37.25","31.12"
"2019-11-25 19:04:45 EST","t86","BRINGUP","zThemis","zHE","CPC4","mdc1","33.00","33.43","32.18","36.93","33.00"
"2019-11-25 19:04:45 EST","t86","BRINGUP","zThemis","zHE","CPC4","mdc2","31.50","31.87","30.93","36.87","31.81"
